Startzeit des Zyklus,Endzeit des Zyklus,Zeitzone des Zyklus,Beginn des Schlafs,Beginn des Aufwachens,Schlafleistung %,Atemfrequenz (Atemzüge/Min.),Schlafdauer (Min.),Dauer im Bett (Min.),Dauer des Leichtschlafs (Min.),Dauer des Tiefschlafs (Min.),Dauer des REM-Schlafs (Min.),Dauer des Aufwachens (Min.),Schlafbedarf (Min.),Schlafdefizit (Min.),Schlafeffizienz %,Schlafbeständigkeit %,Nickerchen
2026-04-12 02:20:21,,UTC+02:00,2026-04-12 02:20:21,2026-04-12 10:18:25,64,17.4,459,478,173,122,164,19,622,127,96,65,false
2026-04-11 01:42:18,2026-04-12 02:20:21,UTC+02:00,2026-04-11 01:42:18,2026-04-11 08:23:21,78,17.3,389,401,163,128,98,12,596,127,97,82,false
2026-04-10 01:10:51,2026-04-11 01:42:18,UTC+02:00,2026-04-10 01:10:51,2026-04-10 06:55:32,72,17.1,340,344,133,131,76,4,576,106,98,71,false
2026-04-09 01:00:28,2026-04-10 01:10:51,UTC+02:00,2026-04-09 01:00:28,2026-04-09 08:20:15,81,16.9,431,439,171,124,136,8,596,127,98,75,false
2026-04-08 02:23:16,2026-04-09 01:00:28,UTC+02:00,2026-04-08 02:23:16,2026-04-08 09:11:13,79,17.1,396,407,140,135,121,11,605,127,97,78,false
2026-04-07 03:11:46,2026-04-08 02:23:16,UTC+02:00,2026-04-07 03:11:46,2026-04-07 08:05:02,58,15.8,285,293,114,107,64,8,588,116,97,78,false
2026-04-06 01:06:03,2026-04-07 03:11:46,UTC+02:00,2026-04-06 01:06:03,2026-04-06 08:37:04,61,16.9,426,451,184,126,116,25,659,127,94,79,false
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,2026-04-05 01:43:59,2026-04-05 07:50:39,66,16.6,354,366,144,105,105,12,659,127,97,78,false
2026-04-04 03:10:59,2026-04-05 01:43:59,UTC+02:00,2026-04-04 03:10:59,2026-04-04 08:50:38,64,16.4,331,339,111,108,112,8,599,127,97,65,false
2026-04-03 02:20:27,2026-04-04 03:10:59,UTC+02:00,2026-04-03 02:20:27,2026-04-03 08:13:34,69,16.0,339,353,116,120,103,14,593,124,96,67,false
2026-04-02 01:15:51,2026-04-03 02:20:27,UTC+02:00,2026-04-02 01:15:51,2026-04-02 07:12:49,70,16.1,347,356,149,97,101,9,597,127,98,69,false
2026-04-01 00:32:34,2026-04-02 01:15:51,UTC+02:00,2026-04-01 00:32:34,2026-04-01 04:58:04,48,16.1,251,265,83,119,49,14,536,43,95,44,false
2026-03-31 00:47:32,2026-04-01 00:32:34,UTC+02:00,2026-03-31 00:47:32,2026-03-31 08:54:51,79,16.6,473,487,235,111,127,14,559,65,97,72,false
2026-03-30 01:48:30,2026-03-31 00:47:32,UTC+02:00,2026-03-30 01:48:30,2026-03-30 08:41:13,79,16.6,403,412,155,139,109,9,533,43,98,74,false
2026-03-29 01:58:29,2026-03-30 01:48:30,UTC+02:00,2026-03-29 01:58:29,2026-03-29 10:30:48,85,15.9,490,512,204,138,148,22,558,64,96,76,false
2026-03-28 02:45:27,2026-03-29 00:58:29,UTC+01:00,2026-03-28 02:45:27,2026-03-28 09:06:39,75,16.6,376,381,140,113,123,5,504,31,98,,false
2026-03-27 00:30:08,2026-03-28 02:45:27,UTC+01:00,2026-03-27 00:30:08,2026-03-27 08:16:14,87,17.0,449,466,182,146,121,17,511,0,96,,false
